日期,黄金ETF_open,黄金ETF_close,纳指ETF_open,纳指ETF_close,创业板ETF_open,创业板ETF_close,黄金ETF_high,黄金ETF_low,黄金ETF_volume,黄金ETF_amount,黄金ETF_source,纳指ETF_high,纳指ETF_low,纳指ETF_volume,纳指ETF_amount,纳指ETF_source,创业板ETF_high,创业板ETF_low,创业板ETF_volume,创业板ETF_amount,创业板ETF_source
2014-01-13,2.451,2.435,0.234,0.2366,1.323,1.367,2.451,2.435,0,0,Excel导入缓存,0.2366,0.234,0,0,Excel导入缓存,1.367,1.323,0,0,Excel导入缓存
2014-01-20,2.436,2.46,0.2362,0.2372,1.361,1.453,2.46,2.436,0,0,Excel导入缓存,0.2372,0.2362,0,0,Excel导入缓存,1.453,1.361,0,0,Excel导入缓存
2014-01-27,2.47,2.461,0.2348,0.2326,1.448,1.463,2.47,2.461,0,0,Excel导入缓存,0.2348,0.2326,0,0,Excel导入缓存,1.463,1.448,0,0,Excel导入缓存
2014-02-03,2.461,2.48,0.2324,0.232,1.451,1.498,2.48,2.461,0,0,Excel导入缓存,0.2324,0.232,0,0,Excel导入缓存,1.498,1.451,0,0,Excel导入缓存
2014-02-10,2.49,2.552,0.2346,0.2362,1.505,1.479,2.552,2.49,0,0,Excel导入缓存,0.2362,0.2346,0,0,Excel导入缓存,1.505,1.479,0,0,Excel导入缓存
2014-02-17,2.592,2.582,0.2368,0.2406,1.483,1.483,2.592,2.582,0,0,Excel导入缓存,0.2406,0.2368,0,0,Excel导入缓存,1.483,1.483,0,0,Excel导入缓存
2014-02-24,2.57,2.623,0.2402,0.2498,1.481,1.4,2.623,2.57,0,0,Excel导入缓存,0.2498,0.2402,0,0,Excel导入缓存,1.481,1.4,0,0,Excel导入缓存
2014-03-03,2.643,2.65,0.249,0.2462,1.4,1.428,2.65,2.643,0,0,Excel导入缓存,0.249,0.2462,0,0,Excel导入缓存,1.428,1.4,0,0,Excel导入缓存
2014-03-10,2.625,2.691,0.2462,0.2394,1.408,1.398,2.691,2.625,0,0,Excel导入缓存,0.2462,0.2394,0,0,Excel导入缓存,1.408,1.398,0,0,Excel导入缓存
2014-03-17,2.701,2.647,0.2384,0.244,1.401,1.382,2.701,2.647,0,0,Excel导入缓存,0.244,0.2384,0,0,Excel导入缓存,1.401,1.382,0,0,Excel导入缓存
2014-03-24,2.65,2.588,0.242,0.2346,1.375,1.292,2.65,2.588,0,0,Excel导入缓存,0.242,0.2346,0,0,Excel导入缓存,1.375,1.292,0,0,Excel导入缓存
2014-03-31,2.57,2.566,0.2348,0.2398,1.293,1.314,2.57,2.566,0,0,Excel导入缓存,0.2398,0.2348,0,0,Excel导入缓存,1.314,1.293,0,0,Excel导入缓存
2014-04-07,2.58,2.62,0.232,0.2284,1.295,1.329,2.62,2.58,0,0,Excel导入缓存,0.232,0.2284,0,0,Excel导入缓存,1.329,1.295,0,0,Excel导入缓存
2014-04-14,2.629,2.579,0.2246,0.2308,1.329,1.344,2.629,2.579,0,0,Excel导入缓存,0.2308,0.2246,0,0,Excel导入缓存,1.344,1.329,0,0,Excel导入缓存
2014-04-21,2.575,2.59,0.2308,0.2354,1.33,1.26,2.59,2.575,0,0,Excel导入缓存,0.2354,0.2308,0,0,Excel导入缓存,1.33,1.26,0,0,Excel导入缓存
2014-04-28,2.613,2.612,0.2322,0.234,1.255,1.254,2.613,2.612,0,0,Excel导入缓存,0.234,0.2322,0,0,Excel导入缓存,1.255,1.254,0,0,Excel导入缓存
2014-05-05,2.632,2.588,0.2342,0.2318,1.253,1.23,2.632,2.588,0,0,Excel导入缓存,0.2342,0.2318,0,0,Excel导入缓存,1.253,1.23,0,0,Excel导入缓存
2014-05-12,2.586,2.594,0.2326,0.2358,1.236,1.202,2.594,2.586,0,0,Excel导入缓存,0.2358,0.2326,0,0,Excel导入缓存,1.236,1.202,0,0,Excel导入缓存
2014-05-19,2.586,2.597,0.236,0.2404,1.195,1.27,2.597,2.586,0,0,Excel导入缓存,0.2404,0.236,0,0,Excel导入缓存,1.27,1.195,0,0,Excel导入缓存
2014-05-26,2.59,2.535,0.242,0.2478,1.275,1.291,2.59,2.535,0,0,Excel导入缓存,0.2478,0.242,0,0,Excel导入缓存,1.291,1.275,0,0,Excel导入缓存
2014-06-02,2.526,2.53,0.2472,0.2512,1.291,1.321,2.53,2.526,0,0,Excel导入缓存,0.2512,0.2472,0,0,Excel导入缓存,1.321,1.291,0,0,Excel导入缓存
2014-06-09,2.531,2.545,0.2522,0.2482,1.315,1.35,2.545,2.531,0,0,Excel导入缓存,0.2522,0.2482,0,0,Excel导入缓存,1.35,1.315,0,0,Excel导入缓存
2014-06-16,2.551,2.627,0.2494,0.2508,1.352,1.305,2.627,2.551,0,0,Excel导入缓存,0.2508,0.2494,0,0,Excel导入缓存,1.352,1.305,0,0,Excel导入缓存
2014-06-23,2.604,2.634,0.252,0.2534,1.305,1.357,2.634,2.604,0,0,Excel导入缓存,0.2534,0.252,0,0,Excel导入缓存,1.357,1.305,0,0,Excel导入缓存
2014-06-30,2.634,2.635,0.2536,0.261,1.357,1.381,2.635,2.634,0,0,Excel导入缓存,0.261,0.2536,0,0,Excel导入缓存,1.381,1.357,0,0,Excel导入缓存
2014-07-07,2.631,2.67,0.261,0.2562,1.375,1.329,2.67,2.631,0,0,Excel导入缓存,0.261,0.2562,0,0,Excel导入缓存,1.375,1.329,0,0,Excel导入缓存
2014-07-14,2.671,2.62,0.257,0.258,1.329,1.279,2.671,2.62,0,0,Excel导入缓存,0.258,0.257,0,0,Excel导入缓存,1.329,1.279,0,0,Excel导入缓存
2014-07-21,2.618,2.579,0.2596,0.2622,1.28,1.257,2.618,2.579,0,0,Excel导入缓存,0.2622,0.2596,0,0,Excel导入缓存,1.28,1.257,0,0,Excel导入缓存
2014-07-28,2.59,2.558,0.2614,0.2574,1.258,1.29,2.59,2.558,0,0,Excel导入缓存,0.2614,0.2574,0,0,Excel导入缓存,1.29,1.258,0,0,Excel导入缓存
2014-08-04,2.584,2.616,0.2562,0.2542,1.285,1.347,2.616,2.584,0,0,Excel导入缓存,0.2562,0.2542,0,0,Excel导入缓存,1.347,1.285,0,0,Excel导入缓存
2014-08-11,2.616,2.599,0.2556,0.2622,1.348,1.36,2.616,2.599,0,0,Excel导入缓存,0.2622,0.2556,0,0,Excel导入缓存,1.36,1.348,0,0,Excel导入缓存
2014-08-18,2.58,2.543,0.2632,0.2666,1.36,1.429,2.58,2.543,0,0,Excel导入缓存,0.2666,0.2632,0,0,Excel导入缓存,1.429,1.36,0,0,Excel导入缓存
2014-08-25,2.545,2.555,0.2668,0.2672,1.426,1.394,2.555,2.545,0,0,Excel导入缓存,0.2672,0.2668,0,0,Excel导入缓存,1.426,1.394,0,0,Excel导入缓存
2014-09-01,2.551,2.519,0.268,0.2678,1.395,1.46,2.551,2.519,0,0,Excel导入缓存,0.268,0.2678,0,0,Excel导入缓存,1.46,1.395,0,0,Excel导入缓存
2014-09-08,2.512,2.463,0.269,0.2684,1.453,1.483,2.512,2.463,0,0,Excel导入缓存,0.269,0.2684,0,0,Excel导入缓存,1.483,1.453,0,0,Excel导入缓存
2014-09-15,2.455,2.434,0.2672,0.2708,1.478,1.46,2.455,2.434,0,0,Excel导入缓存,0.2708,0.2672,0,0,Excel导入缓存,1.478,1.46,0,0,Excel导入缓存
2014-09-22,2.422,2.429,0.27,0.2626,1.452,1.472,2.429,2.422,0,0,Excel导入缓存,0.27,0.2626,0,0,Excel导入缓存,1.472,1.452,0,0,Excel导入缓存
2014-09-29,2.425,2.433,0.2652,0.265,1.472,1.5,2.433,2.425,0,0,Excel导入缓存,0.2652,0.265,0,0,Excel导入缓存,1.5,1.472,0,0,Excel导入缓存
2014-10-06,2.418,2.425,0.2588,0.2592,1.501,1.512,2.425,2.418,0,0,Excel导入缓存,0.2592,0.2588,0,0,Excel导入缓存,1.512,1.501,0,0,Excel导入缓存
2014-10-13,2.436,2.449,0.2536,0.2514,1.502,1.47,2.449,2.436,0,0,Excel导入缓存,0.2536,0.2514,0,0,Excel导入缓存,1.502,1.47,0,0,Excel导入缓存
2014-10-20,2.449,2.43,0.2524,0.262,1.465,1.441,2.449,2.43,0,0,Excel导入缓存,0.262,0.2524,0,0,Excel导入缓存,1.465,1.441,0,0,Excel导入缓存
2014-10-27,2.435,2.35,0.2634,0.2694,1.438,1.473,2.435,2.35,0,0,Excel导入缓存,0.2694,0.2634,0,0,Excel导入缓存,1.473,1.438,0,0,Excel导入缓存
2014-11-03,2.315,2.259,0.2722,0.2726,1.475,1.477,2.315,2.259,0,0,Excel导入缓存,0.2726,0.2722,0,0,Excel导入缓存,1.477,1.475,0,0,Excel导入缓存
2014-11-10,2.309,2.281,0.2724,0.273,1.48,1.406,2.309,2.281,0,0,Excel导入缓存,0.273,0.2724,0,0,Excel导入缓存,1.48,1.406,0,0,Excel导入缓存
2014-11-17,2.325,2.349,0.2732,0.2756,1.401,1.462,2.349,2.325,0,0,Excel导入缓存,0.2756,0.2732,0,0,Excel导入缓存,1.462,1.401,0,0,Excel导入缓存
2014-11-24,2.352,2.355,0.2756,0.28,1.483,1.524,2.355,2.352,0,0,Excel导入缓存,0.28,0.2756,0,0,Excel导入缓存,1.524,1.483,0,0,Excel导入缓存
2014-12-01,2.305,2.394,0.28,0.278,1.52,1.529,2.394,2.305,0,0,Excel导入缓存,0.28,0.278,0,0,Excel导入缓存,1.529,1.52,0,0,Excel导入缓存
2014-12-08,2.386,2.434,0.2786,0.273,1.522,1.569,2.434,2.386,0,0,Excel导入缓存,0.2786,0.273,0,0,Excel导入缓存,1.569,1.522,0,0,Excel导入缓存
2014-12-15,2.43,2.414,0.2712,0.2806,1.572,1.541,2.43,2.414,0,0,Excel导入缓存,0.2806,0.2712,0,0,Excel导入缓存,1.572,1.541,0,0,Excel导入缓存
2014-12-22,2.413,2.386,0.2814,0.2788,1.534,1.488,2.413,2.386,0,0,Excel导入缓存,0.2814,0.2788,0,0,Excel导入缓存,1.534,1.488,0,0,Excel导入缓存
2014-12-29,2.4,2.413,0.2794,0.2784,1.489,1.43,2.413,2.4,0,0,Excel导入缓存,0.2794,0.2784,0,0,Excel导入缓存,1.489,1.43,0,0,Excel导入缓存
2015-01-05,2.413,2.439,0.277,0.2778,1.424,1.503,2.439,2.413,0,0,Excel导入缓存,0.2778,0.277,0,0,Excel导入缓存,1.503,1.424,0,0,Excel导入缓存
2015-01-12,2.456,2.519,0.2748,0.27,1.495,1.592,2.519,2.456,0,0,Excel导入缓存,0.2748,0.27,0,0,Excel导入缓存,1.592,1.495,0,0,Excel导入缓存
2015-01-19,2.549,2.607,0.2716,0.2788,1.576,1.638,2.607,2.549,0,0,Excel导入缓存,0.2788,0.2716,0,0,Excel导入缓存,1.638,1.576,0,0,Excel导入缓存
2015-01-26,2.609,2.542,0.2774,0.2742,1.639,1.623,2.609,2.542,0,0,Excel导入缓存,0.2774,0.2742,0,0,Excel导入缓存,1.639,1.623,0,0,Excel导入缓存
2015-02-02,2.58,2.564,0.272,0.2774,1.609,1.661,2.58,2.564,0,0,Excel导入缓存,0.2774,0.272,0,0,Excel导入缓存,1.661,1.609,0,0,Excel导入缓存
2015-02-09,2.539,2.496,0.2764,0.2838,1.661,1.761,2.539,2.496,0,0,Excel导入缓存,0.2838,0.2764,0,0,Excel导入缓存,1.761,1.661,0,0,Excel导入缓存
2015-02-16,2.499,2.488,0.286,0.2874,1.767,1.82,2.499,2.488,0,0,Excel导入缓存,0.2874,0.286,0,0,Excel导入缓存,1.82,1.767,0,0,Excel导入缓存
2015-02-24,2.48,2.465,0.29,0.2898,1.825,1.863,2.48,2.465,0,0,Excel导入缓存,0.29,0.2898,0,0,Excel导入缓存,1.863,1.825,0,0,Excel导入缓存
2015-03-02,2.472,2.439,0.2904,0.2926,1.868,1.88,2.472,2.439,0,0,Excel导入缓存,0.2926,0.2904,0,0,Excel导入缓存,1.88,1.868,0,0,Excel导入缓存
2015-03-09,2.384,2.359,0.2888,0.2862,1.855,1.992,2.384,2.359,0,0,Excel导入缓存,0.2888,0.2862,0,0,Excel导入缓存,1.992,1.855,0,0,Excel导入缓存
2015-03-16,2.357,2.354,0.286,0.2908,2.005,2.126,2.357,2.354,0,0,Excel导入缓存,0.2908,0.286,0,0,Excel导入缓存,2.126,2.005,0,0,Excel导入缓存
2015-03-23,2.369,2.406,0.292,0.2878,2.13,2.228,2.406,2.369,0,0,Excel导入缓存,0.292,0.2878,0,0,Excel导入缓存,2.228,2.13,0,0,Excel导入缓存
2015-03-30,2.398,2.392,0.2878,0.2832,2.21,2.391,2.398,2.392,0,0,Excel导入缓存,0.2878,0.2832,0,0,Excel导入缓存,2.391,2.21,0,0,Excel导入缓存
2015-04-07,2.406,2.384,0.2848,0.2862,2.402,2.424,2.406,2.384,0,0,Excel导入缓存,0.2862,0.2848,0,0,Excel导入缓存,2.424,2.402,0,0,Excel导入缓存
2015-04-13,2.393,2.395,0.2872,0.2876,2.435,2.368,2.395,2.393,0,0,Excel导入缓存,0.2876,0.2872,0,0,Excel导入缓存,2.435,2.368,0,0,Excel导入缓存
2015-04-20,2.393,2.399,0.2842,0.2924,2.355,2.645,2.399,2.393,0,0,Excel导入缓存,0.2924,0.2842,0,0,Excel导入缓存,2.645,2.355,0,0,Excel导入缓存
2015-04-27,2.369,2.41,0.294,0.2918,2.67,2.748,2.41,2.369,0,0,Excel导入缓存,0.294,0.2918,0,0,Excel导入缓存,2.748,2.67,0,0,Excel导入缓存
2015-05-04,2.381,2.369,0.292,0.2902,2.758,2.894,2.381,2.369,0,0,Excel导入缓存,0.292,0.2902,0,0,Excel导入缓存,2.894,2.758,0,0,Excel导入缓存
2015-05-11,2.37,2.425,0.2916,0.2928,2.908,3.016,2.425,2.37,0,0,Excel导入缓存,0.2928,0.2916,0,0,Excel导入缓存,3.016,2.908,0,0,Excel导入缓存
2015-05-18,2.424,2.411,0.2928,0.2936,3.043,3.382,2.424,2.411,0,0,Excel导入缓存,0.2936,0.2928,0,0,Excel导入缓存,3.382,3.043,0,0,Excel导入缓存
2015-05-25,2.411,2.381,0.2928,0.295,3.271,3.384,2.411,2.381,0,0,Excel导入缓存,0.295,0.2928,0,0,Excel导入缓存,3.384,3.271,0,0,Excel导入缓存
2015-06-01,2.383,2.368,0.2938,0.2928,3.398,3.703,2.383,2.368,0,0,Excel导入缓存,0.2938,0.2928,0,0,Excel导入缓存,3.703,3.398,0,0,Excel导入缓存
2015-06-08,2.37,2.375,0.2928,0.292,3.65,3.704,2.375,2.37,0,0,Excel导入缓存,0.2928,0.292,0,0,Excel导入缓存,3.704,3.65,0,0,Excel导入缓存
2015-06-15,2.377,2.365,0.2912,0.2924,3.712,3.15,2.377,2.365,0,0,Excel导入缓存,0.2924,0.2912,0,0,Excel导入缓存,3.712,3.15,0,0,Excel导入缓存
2015-06-23,2.359,2.353,0.293,0.294,3.15,2.767,2.359,2.353,0,0,Excel导入缓存,0.294,0.293,0,0,Excel导入缓存,3.15,2.767,0,0,Excel导入缓存
2015-06-29,2.354,2.312,0.2926,0.2886,2.76,2.457,2.354,2.312,0,0,Excel导入缓存,0.2926,0.2886,0,0,Excel导入缓存,2.76,2.457,0,0,Excel导入缓存
2015-07-06,2.315,2.3,0.2886,0.2772,2.7,2.298,2.315,2.3,0,0,Excel导入缓存,0.2886,0.2772,0,0,Excel导入缓存,2.7,2.298,0,0,Excel导入缓存
2015-07-13,2.301,2.3,0.2802,0.295,2.524,2.688,2.301,2.3,0,0,Excel导入缓存,0.295,0.2802,0,0,Excel导入缓存,2.688,2.524,0,0,Excel导入缓存
2015-07-20,2.288,2.186,0.296,0.2994,2.67,2.74,2.288,2.186,0,0,Excel导入缓存,0.2994,0.296,0,0,Excel导入缓存,2.74,2.67,0,0,Excel导入缓存
2015-07-27,2.189,2.167,0.2976,0.3052,2.67,2.368,2.189,2.167,0,0,Excel导入缓存,0.3052,0.2976,0,0,Excel导入缓存,2.67,2.368,0,0,Excel导入缓存
2015-08-03,2.177,2.187,0.306,0.2994,2.325,2.459,2.187,2.177,0,0,Excel导入缓存,0.306,0.2994,0,0,Excel导入缓存,2.459,2.325,0,0,Excel导入缓存
2015-08-10,2.19,2.298,0.2996,0.3106,2.475,2.525,2.298,2.19,0,0,Excel导入缓存,0.3106,0.2996,0,0,Excel导入缓存,2.525,2.475,0,0,Excel导入缓存
2015-08-17,2.295,2.39,0.3106,0.2978,2.52,2.226,2.39,2.295,0,0,Excel导入缓存,0.3106,0.2978,0,0,Excel导入缓存,2.52,2.226,0,0,Excel导入缓存
2015-08-24,2.391,2.334,0.281,0.296,2.112,1.941,2.391,2.334,0,0,Excel导入缓存,0.296,0.281,0,0,Excel导入缓存,2.112,1.941,0,0,Excel导入缓存
2015-08-31,2.335,2.353,0.2956,0.2854,1.901,1.69,2.353,2.335,0,0,Excel导入缓存,0.2956,0.2854,0,0,Excel导入缓存,1.901,1.69,0,0,Excel导入缓存
2015-09-07,2.328,2.287,0.2856,0.2932,1.741,1.922,2.328,2.287,0,0,Excel导入缓存,0.2932,0.2856,0,0,Excel导入缓存,1.922,1.741,0,0,Excel导入缓存
2015-09-14,2.287,2.318,0.2954,0.2958,1.926,1.825,2.318,2.287,0,0,Excel导入缓存,0.2958,0.2954,0,0,Excel导入缓存,1.926,1.825,0,0,Excel导入缓存
2015-09-21,2.329,2.358,0.2916,0.29,1.796,1.845,2.358,2.329,0,0,Excel导入缓存,0.2916,0.29,0,0,Excel导入缓存,1.845,1.796,0,0,Excel导入缓存
2015-09-28,2.345,2.312,0.288,0.2788,1.849,1.935,2.345,2.312,0,0,Excel导入缓存,0.288,0.2788,0,0,Excel导入缓存,1.935,1.849,0,0,Excel导入缓存
2015-10-06,2.335,2.35,0.2902,0.29,2.035,2.103,2.35,2.335,0,0,Excel导入缓存,0.2902,0.29,0,0,Excel导入缓存,2.103,2.035,0,0,Excel导入缓存
2015-10-12,2.37,2.403,0.2904,0.2968,2.113,2.329,2.403,2.37,0,0,Excel导入缓存,0.2968,0.2904,0,0,Excel导入缓存,2.329,2.113,0,0,Excel导入缓存
2015-10-19,2.4,2.402,0.2968,0.3062,2.328,2.427,2.402,2.4,0,0,Excel导入缓存,0.3062,0.2968,0,0,Excel导入缓存,2.427,2.328,0,0,Excel导入缓存
2015-10-26,2.393,2.351,0.3136,0.3138,2.443,2.349,2.393,2.351,0,0,Excel导入缓存,0.3138,0.3136,0,0,Excel导入缓存,2.443,2.349,0,0,Excel导入缓存
2015-11-02,2.333,2.282,0.3128,0.3148,2.273,2.548,2.333,2.282,0,0,Excel导入缓存,0.3148,0.3128,0,0,Excel导入缓存,2.548,2.273,0,0,Excel导入缓存
2015-11-09,2.249,2.23,0.315,0.3086,2.521,2.58,2.249,2.23,0,0,Excel导入缓存,0.315,0.3086,0,0,Excel导入缓存,2.58,2.521,0,0,Excel导入缓存
2015-11-16,2.25,2.234,0.305,0.3162,2.523,2.645,2.25,2.234,0,0,Excel导入缓存,0.3162,0.305,0,0,Excel导入缓存,2.645,2.523,0,0,Excel导入缓存
2015-11-23,2.22,2.206,0.3164,0.3164,2.628,2.496,2.22,2.206,0,0,Excel导入缓存,0.3164,0.3164,0,0,Excel导入缓存,2.628,2.496,0,0,Excel导入缓存
2015-11-30,2.177,2.199,0.3164,0.3144,2.505,2.53,2.199,2.177,0,0,Excel导入缓存,0.3164,0.3144,0,0,Excel导入缓存,2.53,2.505,0,0,Excel导入缓存
2015-12-07,2.239,2.23,0.32,0.317,2.534,2.51,2.239,2.23,0,0,Excel导入缓存,0.32,0.317,0,0,Excel导入缓存,2.534,2.51,0,0,Excel导入缓存
2015-12-14,2.236,2.217,0.3134,0.317,2.489,2.668,2.236,2.217,0,0,Excel导入缓存,0.317,0.3134,0,0,Excel导入缓存,2.668,2.489,0,0,Excel导入缓存
2015-12-21,2.232,2.249,0.314,0.3162,2.654,2.62,2.249,2.232,0,0,Excel导入缓存,0.3162,0.314,0,0,Excel导入缓存,2.654,2.62,0,0,Excel导入缓存
2015-12-28,2.248,2.232,0.3162,0.3234,2.623,2.539,2.248,2.232,0,0,Excel导入缓存,0.3234,0.3162,0,0,Excel导入缓存,2.623,2.539,0,0,Excel导入缓存
2016-01-04,2.235,2.338,0.3234,0.3072,2.531,2.125,2.338,2.235,0,0,Excel导入缓存,0.3234,0.3072,0,0,Excel导入缓存,2.531,2.125,0,0,Excel导入缓存
2016-01-11,2.345,2.305,0.3058,0.296,2.067,1.997,2.345,2.305,0,0,Excel导入缓存,0.3058,0.296,0,0,Excel导入缓存,2.067,1.997,0,0,Excel导入缓存
2016-01-18,2.316,2.335,0.29,0.2916,1.966,2.042,2.335,2.316,0,0,Excel导入缓存,0.2916,0.29,0,0,Excel导入缓存,2.042,1.966,0,0,Excel导入缓存
2016-01-25,2.332,2.363,0.294,0.2916,2.055,1.879,2.363,2.332,0,0,Excel导入缓存,0.294,0.2916,0,0,Excel导入缓存,2.055,1.879,0,0,Excel导入缓存
2016-02-01,2.367,2.453,0.2942,0.2978,1.875,1.999,2.453,2.367,0,0,Excel导入缓存,0.2978,0.2942,0,0,Excel导入缓存,1.999,1.875,0,0,Excel导入缓存
2016-02-15,2.598,2.573,0.2876,0.2892,1.933,2.106,2.598,2.573,0,0,Excel导入缓存,0.2892,0.2876,0,0,Excel导入缓存,2.106,1.933,0,0,Excel导入缓存
2016-02-22,2.574,2.613,0.2892,0.2944,2.134,1.902,2.613,2.574,0,0,Excel导入缓存,0.2944,0.2892,0,0,Excel导入缓存,2.134,1.902,0,0,Excel导入缓存
2016-02-29,2.591,2.652,0.296,0.3016,1.886,1.81,2.652,2.591,0,0,Excel导入缓存,0.3016,0.296,0,0,Excel导入缓存,1.886,1.81,0,0,Excel导入缓存
2016-03-07,2.66,2.65,0.3038,0.2964,1.84,1.834,2.66,2.65,0,0,Excel导入缓存,0.3038,0.2964,0,0,Excel导入缓存,1.84,1.834,0,0,Excel导入缓存
2016-03-14,2.622,2.616,0.3016,0.3028,1.86,2.076,2.622,2.616,0,0,Excel导入缓存,0.3028,0.3016,0,0,Excel导入缓存,2.076,1.86,0,0,Excel导入缓存
2016-03-21,2.599,2.55,0.3032,0.304,2.1,2.099,2.599,2.55,0,0,Excel导入缓存,0.304,0.3032,0,0,Excel导入缓存,2.1,2.099,0,0,Excel导入缓存
2016-03-28,2.539,2.565,0.3032,0.3054,2.117,2.097,2.565,2.539,0,0,Excel导入缓存,0.3054,0.3032,0,0,Excel导入缓存,2.117,2.097,0,0,Excel导入缓存
2016-04-05,2.548,2.572,0.3062,0.3072,2.093,2.125,2.572,2.548,0,0,Excel导入缓存,0.3072,0.3062,0,0,Excel导入缓存,2.125,2.093,0,0,Excel导入缓存
